Argentina Copa Argentina,AGC
Argentina Primera División,APL
Asia AFC Champions League,ACL
Australia A-League,AD1
Australia FFA Cup,AFA
Belgium Belgian Super Cup,BSC
Belgium Pro League,BFL
Brazil Copa do Brasil,BDC
Brazil Serie A,BD1
Chile Copa Chile,CHC
Chile Primera División,CD1
England Championship,ED1
England Community Shield,ESH
England EFL League One,ED2
England EFL League Two,ED3
England EFL Trophy,ELT
England League Cup,ELC
England Premier League,EPL
Europe UEFA Champions League,UCL
Europe UEFA Europa Conference League,UEF
Europe UEFA Europa League,UEC
Europe UEFA Super Cup,USC
Finland Veikkausliiga,FVL
France Ligue 1,FFL
France Ligue 2,FF2
Germany 2. Bundesliga,GD2
Germany Bundesliga,GSL
Germany DFB Pokal,GSC
Germany DFL Super Cup,GCC
International International Friendlies,INT
International WC Qualification Intercontinental Playoffs,WCQ
International UEFA Euro Qualifiers,EUQ
Italy Coppa Italia,IFC
Italy Serie A,ISA
Japan Emperor Cup,JEC
Japan J1 League,JD1
Japan J2 League,JD2
Japan J-League Cup,JLC
Mexico Liga MX,MXL
Netherlands Eerste Divisie,DF2
Netherlands Eredivisie,DFL
Norway Eliteserien,NTL
Norway Norwegian Football Cup,NWC
Portugal Liga NOS,PFL
Portugal Portuguese League Cup,PLC
Portugal Portuguese Super Cup,PSC
Russia Russian Premier League,RPL
Russia Russian Cup,RFC
Scotland Premiership,SPL
Scotland Scottish League Cup,SLC
South America Copa Libertadores,LBC
South America Copa Sudamericana,SAC
South Korea K League 1,KD1
South Korea Korean FA Cup,KFA
Spain La Liga,SFL
Spain Segunda División,SF2
Sweden Allsvenskan,SAL
Sweden Svenska Cupen,SWC
USA MLS,MLS
USA US Open Cup,MLC